"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen","last_change"
"plmswia-osoby-abel-tatsiana","Person","Tatsiana ABEL","","1964-03-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-achalava-anastasiya","Person","Anastasiya ACHALAVA","","1992-10-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-adamenka-yauhen","Person","Yauhen ADAMENKA","","1960-08-26","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-adzintsova-sviatlana","Person","Sviatlana ADZINTSOVA","","1964-11-08","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-akavitaia-tatsiana","Person","Tatsiana AKAVITAIA","","1988-04-04","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-alaudinov-apti-aronovich","Person","Apti Aronovich ALAUDINOV","","1973-10-05","","","","2022-10-27","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-aleinikava-tatsiana","Person","Tatsiana ALEINIKAVA","","1989-11-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-aliaksandrau-andrei","Person","Andrei ALIAKSANDRAU","","1990-08-08","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-amelyaniuk-aliaksandr","Person","Aliaksandr AMELYANIUK","","1964-03-06","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-amirkhadzhieva-elina","Person","Elina AMIRKHADZHIEVA","","1968-08-21","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-ananich-liliya","Person","Liliya ANANICH","","1960-01-02","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-ananich-viktar","Person","Viktar ANANICH","","1963-06-05","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-andreichanka-uladzimir","Person","Uladzimir ANDREICHANKA","","1949-01-02","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-aniukhouski-siarhei","Person","Siarhei ANIUKHOUSKI","","1980-03-28","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-asipchyk-anastasiya","Person","Anastasiya ASIPCHYK","","1985-02-05","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-autka-aliaksandr","Person","Aliaksandr AUTKA","","1972-01-16","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-autukhova-tatsiana","Person","Tatsiana AUTUKHOVA","","1965-09-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-avdeev-nikolay","Person","Nikolay AVDEEV","","1976-10-23","","","","2024-07-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-averkau-aliaksandr","Person","Aliaksandr AVERKAU","","1960-01-23","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-azaranka-uladzimir","Person","Uladzimir AZARANKA","","1962-08-29","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-azarenok-grigorij","Person","Grigorij AZARENOK","","1995-10-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-babalovich-aliaksandr","Person","Aliaksandr BABALOVICH","","1964-09-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-babkin-konstantin","Person","Konstantin BABKIN","","1971-02-13","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bachyla-aliaksandr","Person","Aliaksandr BACHYLA","","1961-02-26","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bahdanovich-aliaksandr","Person","Aliaksandr BAHDANOVICH","","1982-04-29","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
